manufacturer,type,class,buzzwords1,buzzwords2,buzzwords3,B1_x,B1_y,H1_x,H1_y,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,E1_x,E1_y,F1_x,F1_y,G_x,G_y,H_x,H_y,I_x,I_y,H2_x,H2_y,B4_x,B4_y,J_x,J_y,B3_x,B3_y,B2_x,B2_y,S1_x,S1_y,SRP1_x,SRP1_y,S2_x,S2_y,SRP2_x,SRP2_y,drag_coeff
Mercedes-Benz,SUV/SAV,MKL,Groß,Maskulin,Hochqualitativ,-484.0,-95.0,-718.0,-62.0,-910.0,156.0,-862.0,542.0,417.0,855.0,1114.0,1272.0,2298.0,1396.0,2759.0,1388.0,3544.0,1238.0,3883.0,765.0,3884.0,704.0,3990.0,198.0,3786.0,3.0,3451.0,-37.0,2975.0,0.0,2498.0,-161.0,511.0,-161.0,743.0,75.0,1508.0,410.0,1822.0,78.0,2454.0,425.0,0.33954424
Mercedes-Benz,SUV/SAV,MKL,Groß,Maskulin,Hochqualitativ,-484.0,-106.0,-718.0,-73.0,-910.0,145.0,-861.0,533.0,417.0,844.0,1111.0,1265.0,2385.0,1406.0,2927.0,1397.0,3676.0,1228.0,4014.0,754.0,4015.0,693.0,4139.0,187.0,3938.0,-7.0,3601.0,-48.0,3106.0,0.0,2629.0,-172.0,511.0,-172.0,744.0,64.0,1509.0,400.0,1953.0,67.0,2584.0,415.0,0.31273207
Mercedes-Benz,SUV/SAV,GKL,Groß,Maskulin,Hochqualitativ,-460.0,-135.0,-687.0,-126.0,-885.0,86.0,-851.0,468.0,420.0,784.0,1118.0,1205.0,2813.0,1353.0,3544.0,1345.0,3925.0,1235.0,4090.0,823.0,4147.0,664.0,4235.0,198.0,4038.0,-77.0,3570.0,-136.0,3076.0,0.0,2655.0,-217.0,420.0,-214.0,744.0,2.0,1510.0,336.0,1765.0,3.0,2395.0,354.0,0.34782264
Mercedes-Benz,SUV/SAV,GKL,Groß,Maskulin,Hochqualitativ,-460.0,-91.0,-687.0,-82.0,-884.0,277.0,-849.0,520.0,420.0,827.0,1118.0,1249.0,3086.0,1397.0,3525.0,1389.0,3925.0,1279.0,4090.0,867.0,4146.0,689.0,4235.0,241.0,4109.0,-15.0,3570.0,-92.0,3075.0,0.0,2655.0,-173.0,420.0,-170.0,744.0,46.0,1510.0,380.0,1765.0,46.0,2395.0,397.0,0.35453716
Mercedes-Benz,SUV/SAV,GKL,Groß,Maskulin,Hochqualitativ,-480.0,-96.0,-707.0,-87.0,-903.0,274.0,-869.0,516.0,420.0,837.0,1114.0,1256.0,2913.0,1432.0,3548.0,1427.0,3961.0,1274.0,4126.0,862.0,4208.0,694.0,4296.0,242.0,4098.0,-38.0,3654.0,-90.0,3199.0,0.0,2780.0,-178.0,420.0,-175.0,744.0,41.0,1510.0,375.0,1890.0,41.0,2520.0,392.0,0.32588455
Renault,SUV/SAV,KKL,Modern,Elegant,Nachhaltig,-407.0,-171.0,-701.0,-157.0,-797.0,172.0,-774.0,430.0,182.0,677.0,967.0,1049.0,1692.0,1133.0,2511.0,1085.0,3019.0,936.0,3263.0,746.0,3332.0,684.0,3400.0,83.0,3321.0,-82.0,3108.0,-110.0,2688.0,0.0,2296.0,-210.0,396.0,-210.0,526.0,-56.0,1349.0,223.0,1654.0,-51.0,2181.0,247.0,0.30205747
Mercedes-Benz,SUV/SAV,GKL,Groß,Maskulin,Hochqualitativ,-454.0,-100.0,-688.0,-67.0,-880.0,148.0,-831.0,539.0,417.0,850.0,1116.0,1275.0,2168.0,1377.0,2754.0,1362.0,3485.0,1233.0,3817.0,760.0,3819.0,699.0,3924.0,201.0,3727.0,-2.0,3392.0,-42.0,2915.0,0.0,2439.0,-166.0,451.0,-166.0,744.0,70.0,1508.0,405.0,1763.0,73.0,2394.0,420.0,0.35740435
Mercedes-Benz,SUV/SAV,GKL,Groß,Maskulin,Hochqualitativ,-454.0,-100.0,-688.0,-67.0,-880.0,148.0,-831.0,539.0,417.0,850.0,1116.0,1275.0,2168.0,1377.0,2754.0,1362.0,3485.0,1233.0,3817.0,760.0,3819.0,699.0,3924.0,201.0,3727.0,-2.0,3392.0,-42.0,2915.0,0.0,2439.0,-166.0,451.0,-166.0,744.0,70.0,1508.0,405.0,1763.0,73.0,2394.0,420.0,0.35740435
Tesla,Limousine,KKL,Nachhaltig,Modern,Elegant,-380.0,-192.0,-770.0,-133.0,-831.0,18.0,-838.0,230.0,252.0,572.0,1250.0,1025.0,2000.0,1111.0,2407.0,1088.0,2719.0,1038.0,3480.0,799.0,3790.0,720.0,3852.0,255.0,3760.0,-56.0,3317.0,-139.0,2875.0,0.0,2523.0,-184.0,380.0,-184.0,622.0,-50.0,1485.0,175.0,1833.0,-51.0,2354.0,222.0,0.23600744
Tesla,Limousine,GKL,Nachhaltig,Modern,Elegant,-446.0,-219.0,-921.0,-183.0,-941.0,105.0,-879.0,258.0,368.0,591.0,1373.0,1016.0,1954.0,1068.0,2738.0,998.0,2844.0,975.0,3690.0,704.0,3978.0,692.0,4040.0,164.0,4008.0,-104.0,3396.0,-172.0,2956.0,0.0,2489.0,-228.0,421.0,-229.0,725.0,-103.0,1566.0,153.0,1872.0,-96.0,2455.0,171.0,0.22486845
Tesla,SAC,GKL,Nachhaltig,Modern,Elegant,-422.0,-196.0,-658.0,-168.0,-973.0,73.0,-959.0,374.0,193.0,738.0,1714.0,1288.0,2047.0,1302.0,2698.0,1264.0,3016.0,1212.0,3852.0,917.0,4048.0,855.0,4059.0,283.0,3917.0,-56.0,3428.0,-192.0,2964.0,0.0,2531.0,-215.0,447.0,-215.0,729.0,-23.0,1512.0,296.0,1748.0,-48.0,2359.0,346.0,0.22348942
Tesla,SAC,KKL,Nachhaltig,Modern,Elegant,-448.0,-204.0,-837.0,-128.0,-870.0,50.0,-870.0,300.0,270.0,718.0,1224.0,1180.0,1858.0,1258.0,2739.0,1170.0,2865.0,1142.0,3679.0,890.0,3842.0,870.0,3878.0,183.0,3846.0,-63.0,3292.0,-161.0,2893.0,0.0,2485.0,-201.0,406.0,-201.0,695.0,5.0,1479.0,322.0,1788.0,-65.0,2325.0,313.0,0.21722175
Opel,SUV/SAV,UKL,Groß,Nachhaltig,Modern,-424.0,-185.0,-849.0,-183.0,-944.0,67.0,-846.0,504.0,85.0,758.0,873.0,1198.0,1647.0,1296.0,2432.0,1256.0,2887.0,1150.0,3153.0,842.0,3215.0,826.0,3335.0,232.0,3263.0,28.0,2980.0,-53.0,2555.0,0.0,2139.0,-98.0,448.0,-150.0,539.0,-6.0,1303.0,252.0,1574.0,-18.0,2092.0,366.0,0.39103475
Bentley,Limousine,GKL+,Highclass,Hochqualitativ,Elegant,-420.0,-184.0,-849.0,-169.0,-923.0,116.0,-842.0,491.0,645.0,689.0,1314.0,1065.0,2206.0,1148.0,3077.0,1088.0,3263.0,1041.0,3910.0,749.0,4417.0,666.0,4651.0,133.0,4518.0,-46.0,3733.0,-125.0,3265.0,0.0,2827.0,-163.0,486.0,-176.0,842.0,-15.0,1688.0,235.0,2192.0,-83.0,2778.0,221.0,0.20639588
Ford,Coupe,KKL,Maskulin,Sportlich,Highclass,-409.0,-186.0,-848.0,-143.0,-928.0,139.0,-886.0,369.0,567.0,604.0,1252.0,948.0,1715.0,1021.0,2661.0,879.0,3201.0,1210.0,3256.0,695.0,3703.0,610.0,3840.0,74.0,3620.0,-111.0,3130.0,-134.0,2720.0,0.0,2378.0,-203.0,397.0,-203.0,733.0,-83.0,1600.0,140.0,1934.0,-141.0,2316.0,151.0,0.4269873
Skoda,Touring/Kombi,KKL,Praktisch,Hochqualitativ,Modern,-358.0,-154.0,-800.0,-112.0,-885.0,92.0,-833.0,353.0,274.0,657.0,1012.0,1033.0,1972.0,1136.0,2637.0,1119.0,3244.0,1022.0,3674.0,704.0,3713.0,581.0,3772.0,152.0,3620.0,14.0,3127.0,-136.0,2686.0,0.0,2299.0,-162.0,404.0,-171.0,535.0,-66.0,1366.0,209.0,1637.0,-110.0,2213.0,208.0,0.32765573
Skoda,Limousine,KKL,Praktisch,Hochqualitativ,Modern,-309.0,-184.0,-800.0,-114.0,-885.0,90.0,-833.0,351.0,276.0,658.0,1012.0,1031.0,1931.0,1132.0,2515.0,1089.0,2604.0,1069.0,3377.0,785.0,3713.0,597.0,3772.0,150.0,3620.0,12.0,3101.0,-101.0,2686.0,0.0,2235.0,-162.0,404.0,-171.0,528.0,-60.0,1361.0,206.0,1637.0,-100.0,2213.0,208.0,0.25720736
Xpeng,Limousine,KKL,Nachhaltig,Modern,Elegant,-328.0,-232.0,-789.0,-167.0,-846.0,223.0,-720.0,348.0,538.0,622.0,1404.0,1030.0,1984.0,1087.0,2803.0,1006.0,2904.0,983.0,3600.0,759.0,3974.0,660.0,4013.0,171.0,3920.0,-111.0,3316.0,-223.0,2975.0,0.0,2594.0,-222.0,391.0,-222.0,724.0,-73.0,1575.0,168.0,1957.0,-75.0,2437.0,201.0,0.21096653
Porsche,Limousine,GKL,Modern,Highclass,Sportlich,-395.0,-219.0,-964.0,-162.0,-970.0,178.0,-723.0,385.0,486.0,596.0,1225.0,968.0,1954.0,1051.0,2777.0,982.0,2866.0,963.0,3696.0,674.0,3912.0,614.0,4079.0,65.0,3526.0,-207.0,3378.0,-217.0,2950.0,0.0,2516.0,-245.0,393.0,-245.0,700.0,-117.0,1574.0,92.0,1867.0,-188.0,2420.0,111.0,0.26877296
Porsche,Limousine,GKL,Modern,Highclass,Sportlich,-395.0,-219.0,-964.0,-161.0,-970.0,178.0,-696.0,398.0,486.0,596.0,1225.0,968.0,2025.0,1036.0,2855.0,993.0,3016.0,963.0,3843.0,674.0,4064.0,594.0,4229.0,66.0,3699.0,-206.0,3527.0,-218.0,3099.0,0.0,2690.0,-246.0,398.0,-246.0,699.0,-117.0,1574.0,92.0,1876.0,-181.0,2530.0,121.0,0.256477
Porsche,Touring/Kombi,GKL,Modern,Sportlich,Highclass,-395.0,-219.0,-964.0,-162.0,-971.0,181.0,-719.0,388.0,486.0,596.0,1227.0,969.0,2025.0,1059.0,2810.0,1030.0,3342.0,909.0,3783.0,672.0,4032.0,398.0,4079.0,66.0,3535.0,-207.0,3378.0,-217.0,2950.0,0.0,2539.0,-246.0,393.0,-246.0,700.0,-117.0,1575.0,92.0,1868.0,-188.0,2420.0,120.0,0.29213843
VW,Coupe,KKL,Praktisch,Modern,Elegant,-377.0,-137.0,-963.0,-79.0,-975.0,155.0,-893.0,382.0,245.0,663.0,979.0,1017.0,1759.0,1110.0,2486.0,1047.0,2597.0,1023.0,3304.0,793.0,3713.0,706.0,3817.0,315.0,3660.0,-32.0,3103.0,-91.0,2711.0,0.0,2311.0,-125.0,385.0,-134.0,495.0,-56.0,1339.0,199.0,1607.0,-85.0,2189.0,209.0,0.19797102
VW,Limousine,KKL,Praktisch,Hochqualitativ,Modern,-394.0,-146.0,-832.0,-110.0,-917.0,128.0,-856.0,363.0,275.0,656.0,981.0,1032.0,1892.0,1140.0,2609.0,1076.0,2695.0,1053.0,3427.0,773.0,3816.0,733.0,3951.0,275.0,3795.0,-22.0,3200.0,-84.0,2804.0,0.0,2408.0,-108.0,400.0,-136.0,486.0,-63.0,1355.0,204.0,1651.0,-89.0,2289.0,222.0,0.18824255
VW,Limousine,KKL,Praktisch,Hochqualitativ,Modern,-465.0,-176.0,-841.0,-121.0,-874.0,131.0,-824.0,359.0,321.0,654.0,1029.0,1027.0,2112.0,1130.0,2598.0,1120.0,3428.0,995.0,3824.0,604.0,3850.0,417.0,3893.0,206.0,3779.0,-57.0,3385.0,-105.0,2782.0,0.0,2385.0,-134.0,401.0,-160.0,523.0,-77.0,1357.0,190.0,1635.0,-118.0,2251.0,190.0,0.3389294
VW,Hatchback,UKL,Klein,Modern,Hochqualitativ,-357.0,-115.0,-716.0,-100.0,-830.0,129.0,-755.0,398.0,155.0,664.0,854.0,1041.0,1702.0,1141.0,2361.0,1107.0,2665.0,1005.0,2987.0,720.0,3025.0,640.0,3132.0,119.0,2959.0,-53.0,2828.0,-55.0,2470.0,0.0,2121.0,-131.0,355.0,-131.0,462.0,-39.0,1288.0,234.0,1585.0,-76.0,2030.0,254.0,0.32882077
VW,Hatchback,UKL,Klein,Modern,Hochqualitativ,-357.0,-87.0,-717.0,-72.0,-839.0,-46.0,-761.0,424.0,155.0,691.0,857.0,1073.0,1691.0,1168.0,2363.0,1134.0,2664.0,1034.0,2987.0,747.0,3044.0,579.0,3146.0,130.0,3072.0,12.0,2828.0,-27.0,2470.0,0.0,2121.0,-104.0,355.0,-104.0,462.0,-12.0,1288.0,262.0,1585.0,-49.0,2030.0,281.0,0.32274505
Audi,SUV/SAV,KKL,Modern,Hochqualitativ,Praktisch,-398.0,-109.0,-754.0,-96.0,-829.0,231.0,-773.0,467.0,272.0,689.0,970.0,1091.0,1702.0,1170.0,2447.0,1135.0,2819.0,1037.0,3196.0,780.0,3311.0,635.0,3361.0,314.0,3297.0,-45.0,3004.0,-65.0,2601.0,0.0,2206.0,-183.0,388.0,-183.0,545.0,-54.0,1342.0,252.0,1584.0,-95.0,2125.0,265.0,0.33809355
Audi,SAC,KKL,Modern,Groß,Praktisch,-409.0,-99.0,-882.0,-41.0,-901.0,68.0,-829.0,494.0,244.0,785.0,904.0,1168.0,1647.0,1266.0,2561.0,1208.0,2803.0,1132.0,3258.0,830.0,3400.0,699.0,3483.0,174.0,3367.0,-24.0,3015.0,-33.0,2603.0,0.0,2190.0,-90.0,409.0,-90.0,542.0,15.0,1306.0,352.0,1547.0,0.0,2120.0,345.0,0.31898665
Audi,SAC,KKL,Modern,Groß,Praktisch,-401.0,-174.0,-889.0,-91.0,-890.0,322.0,-817.0,448.0,227.0,727.0,951.0,1115.0,1861.0,1223.0,2590.0,1186.0,2914.0,1079.0,3358.0,811.0,3494.0,674.0,3588.0,209.0,3422.0,-18.0,3063.0,-129.0,2682.0,0.0,2304.0,-137.0,393.0,-140.0,538.0,-22.0,1347.0,270.0,1637.0,-57.0,2190.0,305.0,0.2810102
Audi,SAC,KKL,Modern,Nachhaltig,Groß,-482.0,-199.0,-685.0,-193.0,-850.0,77.0,-794.0,468.0,173.0,714.0,996.0,1115.0,1874.0,1219.0,2685.0,1177.0,3141.0,1031.0,3510.0,792.0,3663.0,623.0,3739.0,47.0,3478.0,-101.0,3215.0,-168.0,2769.0,0.0,2332.0,-203.0,436.0,-203.0,582.0,-14.0,1410.0,257.0,1731.0,-20.0,2312.0,290.0,0.28970802
Audi,SAC,KKL,Modern,Praktisch,Groß,-450.0,-101.0,-718.0,-68.0,-893.0,101.0,-805.0,511.0,438.0,810.0,1108.0,1211.0,1847.0,1301.0,2647.0,1263.0,3183.0,1150.0,3525.0,803.0,3639.0,628.0,3735.0,231.0,3595.0,-10.0,3260.0,-75.0,2808.0,0.0,2408.0,-115.0,476.0,-115.0,666.0,56.0,1468.0,353.0,1684.0,3.0,2300.0,347.0,0.32702643
Audi,SUV/SAV,MKL,Groß,Praktisch,Highclass,-447.0,-125.0,-768.0,-92.0,-966.0,298.0,-929.0,498.0,397.0,808.0,1127.0,1226.0,2053.0,1334.0,2737.0,1310.0,3495.0,1173.0,3884.0,823.0,4018.0,576.0,4075.0,248.0,3834.0,-71.0,3445.0,-100.0,2995.0,0.0,2554.0,-172.0,434.0,-172.0,669.0,72.0,1480.0,359.0,1738.0,5.0,2395.0,362.0,0.31297165
Audi,SUV/SAV,MKL,Groß,Praktisch,Highclass,-451.0,-116.0,-849.0,-29.0,-965.0,56.0,-859.0,587.0,330.0,851.0,1172.0,1277.0,2140.0,1380.0,2800.0,1359.0,3593.0,1215.0,3950.0,852.0,4038.0,657.0,4121.0,200.0,3964.0,41.0,3459.0,-41.0,3002.0,0.0,2555.0,-91.0,460.0,-91.0,735.0,110.0,1521.0,425.0,1770.0,114.0,2422.0,442.0,0.29959258
Audi,SUV/SAV,MKL,Groß,Praktisch,Highclass,-447.0,-125.0,-768.0,-92.0,-977.0,202.0,-929.0,498.0,397.0,808.0,1127.0,1226.0,2053.0,1334.0,2737.0,1310.0,3495.0,1173.0,3884.0,823.0,4018.0,576.0,4075.0,248.0,3834.0,-71.0,3445.0,-100.0,2995.0,0.0,2554.0,-172.0,434.0,-172.0,669.0,72.0,1480.0,359.0,1747.0,4.0,2297.0,363.0,0.30548388
Audi,SUV/SAV,MKL,Groß,Praktisch,Highclass,-451.0,-116.0,-849.0,-29.0,-965.0,56.0,-859.0,587.0,330.0,851.0,1172.0,1277.0,2140.0,1380.0,2689.0,1365.0,3593.0,1215.0,3950.0,852.0,4038.0,657.0,4121.0,200.0,3964.0,41.0,3459.0,-41.0,3002.0,0.0,2555.0,-91.0,460.0,-91.0,734.0,110.0,1521.0,425.0,1770.0,114.0,2422.0,442.0,0.3108939
Audi,SAC,GKL,Groß,Modern,Highclass,-457.0,-155.0,-768.0,-104.0,-975.0,114.0,-964.0,462.0,390.0,805.0,1111.0,1204.0,2010.0,1291.0,2745.0,1244.0,3263.0,1126.0,3783.0,843.0,3950.0,593.0,4010.0,141.0,3812.0,-51.0,3448.0,-85.0,2995.0,0.0,2545.0,-157.0,453.0,-145.0,664.0,74.0,1447.0,334.0,1739.0,6.0,2395.0,351.0,0.2908606
Land Rover,SAC,GKL,Maskulin,Nachhaltig,Elegant,-563.0,-76.0,-689.0,-51.0,-863.0,329.0,-689.0,695.0,477.0,856.0,1107.0,1390.0,2237.0,1505.0,2923.0,1495.0,3548.0,1385.0,3903.0,891.0,3982.0,717.0,4073.0,287.0,4036.0,162.0,3381.0,-5.0,2880.0,0.0,2407.0,12.0,505.0,-12.0,897.0,162.0,1636.0,521.0,1995.0,190.0,2539.0,555.0,0.35203218
Land Rover,SAC,GKL,Maskulin,Nachhaltig,Elegant,-493.0,-137.0,-815.0,-18.0,-882.0,208.0,-710.0,680.0,463.0,855.0,1207.0,1375.0,2255.0,1458.0,3065.0,1442.0,3825.0,1276.0,4180.0,893.0,4280.0,742.0,4316.0,286.0,4299.0,134.0,3586.0,-53.0,3119.0,0.0,2662.0,-65.0,471.0,-102.0,865.0,139.0,1620.0,482.0,2098.0,151.0,2718.0,512.0,0.3124535
Mercedes-Benz,Van/Minivan,MKL,Praktisch,Hochqualitativ,Groß,-450.0,-157.0,-912.0,-92.0,-922.0,60.0,-792.0,433.0,296.0,711.0,1185.0,1152.0,2219.0,1289.0,2652.0,1280.0,3676.0,1119.0,3897.0,727.0,3916.0,616.0,4000.0,247.0,3759.0,-90.0,3433.0,-96.0,2980.0,0.0,2546.0,-160.0,453.0,-178.0,742.0,7.0,1534.0,313.0,1838.0,26.0,2332.0,333.0,0.346472
VW,Hatchback,KKL,Klein,Elegant,Modern,-385.0,-182.0,-892.0,-128.0,-912.0,197.0,-766.0,392.0,186.0,626.0,903.0,1000.0,1617.0,1070.0,2449.0,1019.0,2880.0,916.0,3170.0,632.0,3245.0,454.0,3332.0,107.0,3305.0,4.0,3030.0,-84.0,2579.0,0.0,2201.0,-140.0,386.0,-171.0,483.0,-83.0,1332.0,181.0,1669.0,-112.0,2118.0,197.0,0.3237266
VW,Van/Minivan,MKL,Praktisch,Hochqualitativ,Oldschool,-450.0,-157.0,-898.0,-104.0,-944.0,239.0,-830.0,444.0,53.0,757.0,869.0,1211.0,2214.0,1372.0,2532.0,1370.0,3549.0,1216.0,3759.0,801.0,3807.0,523.0,3885.0,153.0,3698.0,-62.0,3328.0,-100.0,2920.0,0.0,2582.0,-149.0,529.0,-170.0,589.0,-20.0,1316.0,333.0,1631.0,35.0,2136.0,413.0,0.35316163
Mercedes-Benz,Limousine,GKL,Modern,Highclass,Elegant,-393.0,-227.0,-785.0,-144.0,-888.0,136.0,-824.0,389.0,600.0,640.0,1315.0,1041.0,2157.0,1132.0,2837.0,1064.0,2920.0,1039.0,3591.0,749.0,4073.0,689.0,4228.0,209.0,4074.0,-49.0,3409.0,-172.0,3035.0,0.0,2633.0,-205.0,422.0,-205.0,780.0,-90.0,1610.0,177.0,1872.0,-128.0,2481.0,179.0,0.19249883
Mercedes-Benz,Convertible,GKL,Sportlich,Modern,Highclass,-401.0,-214.0,-884.0,-153.0,-954.0,199.0,-931.0,284.0,618.0,645.0,1268.0,985.0,1999.0,1066.0,2690.0,1006.0,2882.0,942.0,3294.0,735.0,3926.0,659.0,4073.0,261.0,3963.0,-80.0,3363.0,-209.0,2944.0,0.0,2540.0,-234.0,385.0,-234.0,771.0,-97.0,1614.0,155.0,1870.0,-135.0,2360.0,138.0,0.21196228
Mercedes-Benz,Coupe,GKL,Highclass,Sportlich,Modern,-403.0,-197.0,-880.0,-156.0,-954.0,196.0,-931.0,281.0,620.0,645.0,1270.0,985.0,1871.0,1060.0,2689.0,989.0,2823.0,957.0,3477.0,708.0,3927.0,659.0,4073.0,258.0,3963.0,-80.0,3331.0,-189.0,2945.0,0.0,2549.0,-206.0,400.0,-210.0,775.0,-99.0,1616.0,155.0,1871.0,-136.0,2410.0,153.0,0.21065982
Mercedes-Benz,Limousine,GKL,Modern,Highclass,Elegant,-393.0,-227.0,-785.0,-144.0,-888.0,122.0,-824.0,390.0,597.0,640.0,1316.0,1042.0,2034.0,1132.0,2987.0,1058.0,3049.0,1040.0,3721.0,749.0,4205.0,689.0,4358.0,218.0,4206.0,-49.0,3550.0,-177.0,3166.0,0.0,2743.0,-205.0,395.0,-205.0,780.0,-90.0,1610.0,177.0,1978.0,-130.0,2611.0,179.0,0.19293252
Mercedes-Benz,Limousine,GKL,Modern,Highclass,Elegant,-547.0,-214.0,-842.0,-142.0,-877.0,119.0,-830.0,370.0,619.0,641.0,1345.0,1043.0,2183.0,1142.0,3001.0,1075.0,3121.0,1041.0,3785.0,760.0,4290.0,689.0,4412.0,230.0,4348.0,-44.0,3609.0,-179.0,3216.0,0.0,2770.0,-216.0,456.0,-216.0,794.0,-93.0,1625.0,174.0,2019.0,-133.0,2646.0,176.0,0.19484545
Mercedes-Benz,Limousine,GKL,Modern,Highclass,Elegant,-392.0,-205.0,-782.0,-143.0,-888.0,136.0,-816.0,404.0,596.0,640.0,1317.0,1043.0,2191.0,1143.0,3123.0,1073.0,3255.0,1036.0,3952.0,734.0,4408.0,687.0,4558.0,205.0,4445.0,-39.0,3795.0,-167.0,3365.0,0.0,2963.0,-210.0,419.0,-241.0,780.0,-90.0,1610.0,177.0,2178.0,-130.0,2811.0,179.0,0.20666108
Ford,Van/Minivan,MKL,Praktisch,Modern,Groß,-390.0,-129.0,-832.0,-111.0,-916.0,223.0,-830.0,401.0,15.0,713.0,950.0,1165.0,1995.0,1300.0,2492.0,1288.0,3417.0,1141.0,3750.0,627.0,3759.0,570.0,3852.0,126.0,3768.0,-39.0,3236.0,-89.0,2850.0,0.0,2464.0,-114.0,399.0,-129.0,633.0,-56.0,1340.0,328.0,1658.0,-4.0,2123.0,385.0,0.32949656
Citroën,Van/Minivan,UKL,Praktisch,Hochqualitativ,Modern,-385.0,-140.0,-836.0,-93.0,-880.0,253.0,-690.0,730.0,-126.0,894.0,768.0,1440.0,2397.0,1547.0,2514.0,1548.0,3502.0,1451.0,3623.0,866.0,3636.0,643.0,3728.0,69.0,3672.0,-11.0,3323.0,-52.0,2926.0,0.0,2528.0,-110.0,398.0,-135.0,521.0,198.0,1227.0,587.0,1664.0,169.0,2126.0,582.0,0.3984294
Alfa,SAC,KKL,Modern,Hochqualitativ,Elegant,-440.0,-173.0,-656.0,-126.0,-851.0,189.0,-830.0,416.0,514.0,779.0,1167.0,1170.0,1904.0,1265.0,2707.0,1221.0,3172.0,1106.0,3661.0,856.0,3803.0,488.0,3826.0,73.0,3724.0,-46.0,3253.0,-136.0,2818.0,0.0,2394.0,-185.0,442.0,-186.0,724.0,-25.0,1506.0,294.0,1766.0,-37.0,2335.0,304.0,0.31946525
VW,Van/Minivan,MKL,Praktisch,Hochqualitativ,Groß,-419.0,-67.0,-769.0,-52.0,-895.0,332.0,-763.0,634.0,-167.0,935.0,588.0,1495.0,2713.0,1614.0,2281.0,1610.0,3735.0,1534.0,3866.0,958.0,3891.0,745.0,3996.0,105.0,3971.0,29.0,3540.0,-25.0,3001.0,0.0,2513.0,-61.0,589.0,-74.0,397.0,241.0,1091.0,641.0,1476.0,192.0,2008.0,621.0,0.38376516
Porsche,Limousine,GKL,Sportlich,Nachhaltig,Highclass,-374.0,-240.0,-986.0,-171.0,-996.0,133.0,-620.0,366.0,395.0,571.0,1122.0,946.0,1780.0,1025.0,2686.0,920.0,2727.0,909.0,3369.0,698.0,3829.0,557.0,3965.0,150.0,3908.0,-59.0,3249.0,-230.0,2897.0,0.0,2476.0,-234.0,441.0,-234.0,627.0,-88.0,1513.0,101.0,1817.0,-189.0,2328.0,98.0,0.20545559
VW,Coupe,UKL,Klein,Elegant,Feminin,-392.0,-162.0,-763.0,-131.0,-878.0,116.0,-669.0,417.0,278.0,654.0,841.0,1036.0,1560.0,1141.0,2278.0,1058.0,2347.0,1037.0,2986.0,689.0,3282.0,340.0,3400.0,34.0,3264.0,-103.0,2935.0,-125.0,2538.0,0.0,2259.0,-183.0,395.0,-163.0,509.0,-87.0,1334.0,189.0,1564.0,-116.0,2062.0,199.0,0.30309808
VW,SUV/SAV,KKL,Groß,Hochqualitativ,Maskulin,-428.0,-144.0,-792.0,-137.0,-894.0,243.0,-822.0,443.0,214.0,731.0,935.0,1153.0,1887.0,1262.0,2563.0,1244.0,3036.0,1144.0,3428.0,792.0,3512.0,541.0,3589.0,195.0,3473.0,-62.0,3111.0,-97.0,2681.0,0.0,2254.0,-189.0,423.0,-189.0,570.0,-36.0,1327.0,306.0,1510.0,-59.0,2220.0,314.0,0.36220956
VW,SUV/SAV,KKL,Groß,Hochqualitativ,Maskulin,-417.0,-118.0,-772.0,-87.0,-925.0,213.0,-827.0,472.0,179.0,742.0,849.0,1154.0,2074.0,1307.0,2516.0,1300.0,3080.0,1163.0,3428.0,786.0,3502.0,406.0,3502.0,187.0,3393.0,42.0,3156.0,-44.0,2604.0,0.0,2162.0,-107.0,391.0,-115.0,546.0,-10.0,1307.0,337.0,1689.0,-24.0,2202.0,360.0,0.37673718
VW,SUV/SAV,KKL,Groß,Hochqualitativ,Maskulin,-473.0,-130.0,-820.0,19.0,-896.0,200.0,-821.0,458.0,215.0,744.0,936.0,1166.0,1993.0,1289.0,2625.0,1270.0,3250.0,1151.0,3635.0,811.0,3727.0,555.0,3804.0,210.0,3655.0,-31.0,3221.0,-99.0,2790.0,0.0,2367.0,-165.0,426.0,-174.0,571.0,-22.0,1327.0,320.0,1639.0,-44.0,2281.0,343.0,0.23957111
VW,SUV/SAV,KKL,Groß,Hochqualitativ,Maskulin,-428.0,-118.0,-812.0,-109.0,-897.0,203.0,-822.0,470.0,214.0,757.0,935.0,1180.0,1992.0,1293.0,2625.0,1280.0,3254.0,1164.0,3634.0,824.0,3727.0,568.0,3804.0,222.0,3655.0,-18.0,3220.0,-86.0,2790.0,0.0,2360.0,-154.0,429.0,-154.0,570.0,-9.0,1327.0,333.0,1578.0,-31.0,2096.0,363.0,0.33531708
VW,SUV/SAV,GKL,Groß,Hochqualitativ,Modern,-475.0,-120.0,-855.0,44.0,-915.0,310.0,-823.0,574.0,392.0,835.0,1148.0,1263.0,2061.0,1361.0,2789.0,1333.0,3346.0,1223.0,3693.0,862.0,3818.0,667.0,3880.0,264.0,3806.0,93.0,3285.0,-100.0,2893.0,0.0,2435.0,-64.0,452.0,-83.0,731.0,98.0,1525.0,405.0,1777.0,89.0,2420.0,423.0,0.28440458
